stop_lat,stop_lon,time_slot,real_date,Count of real_date
59.43558353,24.75000858,1899-12-30 08:30:00,2016-03-31 00:00:00,58
59.43575594,24.75094468,1899-12-30 08:30:00,2016-03-31 00:00:00,58
59.43575899,24.75040946,1899-12-30 08:30:00,2016-03-31 00:00:00,58
59.43603308,24.75114462,1899-12-30 08:30:00,2016-03-31 00:00:00,58
59.43615673,24.7514998,1899-12-30 08:30:00,2016-03-31 00:00:00,58
59.43630368,24.75226163,1899-12-30 08:30:00,2016-03-31 00:00:00,58
59.43042943,24.77168853,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.4309689,24.77000917,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.43135835,24.76941885,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.43154126,24.76884149,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.43161,24.76764,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.43180799,24.76786136,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.43184446,24.76764901,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.43188438,24.7676897,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.43288126,24.76995865,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.43326016,24.76887136,1899-12-30 08:00:00,2016-03-31 00:00:00,53
59.42565434,24.79719552,1899-12-30 08:00:00,2016-03-31 00:00:00,52
59.42594196,24.80170011,1899-12-30 08:00:00,2016-03-31 00:00:00,52
59.42604842,24.79882555,1899-12-30 08:00:00,2016-03-31 00:00:00,52
59.42618754,24.8012495,1899-12-30 08:00:00,2016-03-31 00:00:00,52
59.42661077,24.80082954,1899-12-30 08:00:00,2016-03-31 00:00:00,52
59.40563732,24.73205555,1899-12-30 08:00:00,2016-03-31 00:00:00,51
59.4060814,24.73291021,1899-12-30 08:00:00,2016-03-31 00:00:00,51
59.43686296,24.76448604,1899-12-30 08:00:00,2016-03-31 00:00:00,50
59.43711317,24.76158378,1899-12-30 08:00:00,2016-03-31 00:00:00,50
59.43711858,24.76220072,1899-12-30 08:00:00,2016-03-31 00:00:00,50
59.43719732,24.76100408,1899-12-30 08:00:00,2016-03-31 00:00:00,50
59.43720844,24.7621851,1899-12-30 08:00:00,2016-03-31 00:00:00,50
59.43741497,24.76372296,1899-12-30 08:00:00,2016-03-31 00:00:00,50
59.40563732,24.73205555,1899-12-30 08:30:00,2016-03-31 00:00:00,49
59.4060814,24.73291021,1899-12-30 08:30:00,2016-03-31 00:00:00,49
59.43543983,24.72076811,1899-12-30 08:30:00,2016-03-31 00:00:00,49
59.43609398,24.72015961,1899-12-30 08:30:00,2016-03-31 00:00:00,49
59.44159521,24.73264103,1899-12-30 08:30:00,2016-03-31 00:00:00,49
59.44159875,24.73200328,1899-12-30 08:30:00,2016-03-31 00:00:00,49
59.43125724,24.7124149,1899-12-30 08:00:00,2016-03-31 00:00:00,47
59.43211261,24.71359569,1899-12-30 08:00:00,2016-03-31 00:00:00,47
59.43042943,24.77168853,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.4309689,24.77000917,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.43135835,24.76941885,1899-12-30 08:30:00,2016-03-31 00:00:00,45
59.43154126,24.76884149,1899-12-30 08:30:00,2016-03-31 00:00:00,45
