OBJECTID,7,7_30,8,9,8_30,9_30,10,10_30,11_30,11,12,12_30,13,13_30,14,14_30,15,15_30,16,16_30
2518,15.2,13.7,12.2,17.7,15,13.2,15.3,13.8,13.3,14.7,12.8,12.2,13,12.6,12.1,9.5,8,5.9,5.1,4.2
2519,321.4,289,259.1,373.7,316.4,279,323.8,291.5,281.5,311.4,271.5,259.1,274,266.5,256.6,201.8,169.4,124.6,107.1,89.7
2520,255.9,230.1,206.3,297.6,252,222.2,257.9,232.1,224.2,248,216.3,206.3,218.2,212.3,204.4,160.7,134.9,99.2,85.3,71.4
2521,258,232,208,300,254,224,260,234,226,250,218,208,220,214,206,162,136,100,86,72
2522,258,232,208,300,254,224,260,234,226,250,218,208,220,214,206,162,136,100,86,72
2654,33.1,29.8,26.7,38.5,32.6,28.7,33.4,30,29,32.1,28,26.7,28.2,27.5,26.4,20.8,17.5,12.8,11,9.2
2655,62.1,55.9,50.1,72.2,61.2,53.9,62.6,56.4,54.4,60.2,52.5,50.1,53,51.5,49.6,39,32.8,24.1,20.7,17.3
2656,4.8,4.3,3.9,5.6,4.7,4.2,4.8,4.4,4.2,4.7,4.1,3.9,4.1,4,3.8,3,2.5,1.9,1.6,1.3
2957,55.6,62.9,41.2,57.7,64.9,50.5,34,57.7,36.1,45.3,40.2,28.9,31.9,38.1,31.9,31.9,25.8,34,20.6,21.6
2958,59.2,66.9,43.9,61.4,69.1,53.8,36.2,61.4,38.4,48.3,42.8,30.7,34,40.6,34,34,27.4,36.2,21.9,23
2959,44.1,49.8,32.7,45.8,51.5,40,27,45.8,28.6,36,31.9,22.9,25.3,30.2,25.3,25.3,20.4,27,16.3,17.2
2960,129.1,145.9,95.7,133.9,150.7,117.2,78.9,133.9,83.7,105.2,93.3,67,74.1,88.5,74.1,74.1,59.8,78.9,47.8,50.2
2961,206.5,233.3,153,214.2,241,187.4,126.2,214.2,133.9,168.3,149.2,107.1,118.6,141.5,118.6,118.6,95.6,126.2,76.5,80.3
2962,382.5,432.1,283.3,396.7,446.2,347.1,233.7,396.7,247.9,311.7,276.2,198.3,219.6,262.1,219.6,219.6,177.1,233.7,141.7,148.7
2963,11.4,12.9,8.5,11.8,13.3,10.4,7,11.8,7.4,9.3,8.2,5.9,6.6,7.8,6.6,6.6,5.3,7,4.2,4.4
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2971,132,128,100,112,110,109,112,108,112,110,107,108,88,122,117,104,76,79,54,55
2972,126.9,123,96.1,107.6,105.7,104.8,107.6,103.8,107.6,105.7,102.8,103.8,84.6,117.3,112.5,100,73,75.9,51.9,52.9
2973,261.4,253.5,198.1,221.8,217.9,215.9,221.8,213.9,221.8,217.9,211.9,213.9,174.3,241.6,231.7,206,150.5,156.5,107,108.9
2974,234,226.9,177.3,198.5,195,193.2,198.5,191.4,198.5,195,189.7,191.4,156,216.2,207.4,184.3,134.7,140,95.7,97.5
2975,586.6,569.5,444.4,499,490.5,484.8,497,481.1,496.9,489,475.2,478.7,391,541,518.5,461,337.2,350.8,239.7,244.1
2988,704.6,671,503,584.7,546,546.1,560.5,560.7,555.6,546,522,560.7,440.7,603.5,589.2,551.2,436.5,446,311.8,316.6
2989,435,483.8,321.2,442.3,490.8,389.2,274,440.8,288.2,352.9,315.2,237.6,252.1,305.7,261.2,258.8,208,266.7,164.1,171.7
2990,167.9,188.8,124.5,173,194,151.9,104,172.9,110,137,121.8,88.9,97,116.5,98.3,97.7,78.4,102.6,62.4,65.5
2991,786,882.4,582.8,808.7,905.7,710.4,488.3,807.7,516.2,641,570.6,417.7,454.3,546.6,461.8,458.4,367.7,479.9,292.4,306.6
2992,761.8,851.7,565.2,779.6,870.3,686.7,478.7,777.9,504.8,621.8,555.1,411.6,442.5,535.2,454.6,449.2,358.9,464.8,284.3,297.8
2993,54,61,40,56,63,49,33,56,35,44,39,28,31,37,31,31,25,33,20,21
2994,54,61,40,56,63,49,33,56,35,44,39,28,31,37,31,31,25,33,20,21
2995,176.5,197.1,131,180.3,201.1,159,111.3,179.9,117.3,144.1,128.8,95.9,102.7,124.4,105.9,104.4,83.4,107.7,65.9,69
2996,103.7,117.1,76.8,107.5,121,94.1,63.4,107.5,67.2,84.5,74.9,53.8,59.5,71,59.5,59.5,48,63.4,38.4,40.3
2997,149.1,168.4,110.5,154.6,173.9,135.3,91.1,154.6,96.7,121.5,107.7,77.3,85.6,102.2,85.6,85.6,69,91.1,55.2,58
2998,206.3,230,152.7,210.9,234.4,185.3,129.8,210,136.6,168,149.8,111.9,119.8,144.6,123.2,121.9,97.9,126,77.4,80.9
2999,537.6,570.4,408.8,568.6,590.1,479,392.3,531.2,387.3,460.5,408.8,329.9,350.9,397.1,352.2,324,262.6,297.6,196,195.3
3014,49.2,55.5,36.4,51,57.4,44.6,30,51,31.9,40.1,35.5,25.5,28.2,33.7,28.2,28.2,22.8,30,18.2,19.1
3015,101.5,114.7,75.2,105.3,118.4,92.1,62,105.3,65.8,82.7,73.3,52.6,58.3,69.6,58.3,58.3,47,62,37.6,39.5
3016,157.3,176.8,116.7,163.6,182.8,142.6,97.5,162.6,102.8,128.7,114,82.6,91.3,108.3,91.1,90.5,73,95.3,58.1,60.8
3017,117.6,128.3,88.4,124.5,133.6,106,79.7,119.4,80.7,98.9,87.4,66.7,73,83.4,71.9,68.6,55.7,67.5,42.8,43.6
3018,234.4,234.7,182.2,259.5,249.7,207.6,195.1,226.1,181.7,211.2,185.3,159.2,171,179.5,163.9,141.6,116.9,114,82,76.8
3019,306.2,295,241.3,345.3,317,269.2,274.7,288.8,248.7,283.5,248.2,222.3,237.3,241.6,225.3,187.7,155.9,137.8,105.2,94.8
3020,144.3,143.3,112.5,160.4,152.7,127.6,122.2,138.5,113.1,130.8,114.8,99.5,106.7,111.3,102.1,87.5,72.3,69,50.3,46.7
3021,125,124.5,97.4,138.8,132.6,110.6,105.2,120.2,97.6,113.1,99.2,85.7,92,96.2,88.1,75.7,62.5,60.2,43.6,40.6
