time_slot,stop name,sum_all,lat,long,CellID
5:00:00 PM,Lasnamägi,11,59.444678395,24.814468205,5061
5:00:00 PM,Lastehaigla,11,59.39897621,24.705796455,2965
5:00:00 PM,Laulupeo,41,59.433111195,24.777423175,4186
5:00:00 PM,Lauluväljak,9,59.44827592,24.80313131,5150
5:00:00 PM,Lehola,53,59.40312157,24.68754616,4792
5:00:00 PM,Lennujaam,10,59.416422358,24.798546462,5253
5:00:00 PM,Lepistiku,163,59.40291742,24.698184625,4962
5:00:00 PM,Liikuri,9,59.442265575,24.82281837,3863
5:00:00 PM,Liiva,4,59.38800036,24.72100638,3208
5:00:00 PM,Liiva jaam,5,59.38699352,24.71798894,3207
5:00:00 PM,Liivaku,53,59.39889563,24.68340068,2471
5:00:00 PM,Liivalaia,20,59.42780524,24.748883695,3034
5:00:00 PM,Lille,73,59.431684925,24.713005295,3019
5:00:00 PM,Lilleküla jaam,12,59.424815825,24.726883995,4388
5:00:00 PM,Lillepi,6,59.460707175,24.81871445,5065
5:00:00 PM,Lindakivi,2,59.419486325,24.792136155,4243
5:00:00 PM,Linnahall,75,59.444091182,24.750670782,3037
5:00:00 PM,Linnu tee,100,59.4134845767,24.70799734,3015
5:00:00 PM,Loitsu,2,59.444117135,24.83952069,5107
5:00:00 PM,Looga,9,59.42799971,24.672978485,3560
5:00:00 PM,Loopealse,5,59.451984215,24.839001115,5185
5:00:00 PM,Lubja,37,59.42744267,24.778708215,4184
5:00:00 PM,Luite,1,59.41486061,24.75516717,2998
5:00:00 PM,Lõime,16,59.452156815,24.693583525,4830
5:00:00 PM,Läänemere tee,10,59.450415375,24.860590825,3699
5:00:00 PM,Löwenruh,70,59.41773841,24.69389247,4822
5:00:00 PM,Lükati tee,3,59.458469925,24.852300515,5198
5:00:00 PM,Maarjamägi,3,59.45235029,24.80758523,5151
5:00:00 PM,Madala,36,59.44931156,24.69776564,4972
5:00:00 PM,Mahtra,16,59.4383165875,24.8738937475,4661
5:00:00 PM,Maisi,21,59.4413016725,24.713344805,3021
5:00:00 PM,Majaka,48,59.429838145,24.7866769625,4189
5:00:00 PM,Majaka põik,84,59.426522,24.796523,5255
5:00:00 PM,Maleva,62,59.4548555825,24.6897049525,4830
5:00:00 PM,Maneeži,72,59.4361096267,24.76074488,3120
5:00:00 PM,Marati,5,59.45731243,24.6766024,3565
5:00:00 PM,Marja,117,59.421722345,24.69762081,4966
5:00:00 PM,Marsi,22,59.405231975,24.717231265,3211
5:00:00 PM,Meelespea,15,59.416110035,24.639675205,2412
5:00:00 PM,Meeliku,9,59.450915,24.83321,5169
5:00:00 PM,Mehaanikakool,3,59.43561649,24.80640344,5147
5:00:00 PM,Mere puiestee,95,59.43781854,24.753560785,3036
5:00:00 PM,Merivälja,14,59.49680624,24.8283139967,3807
5:00:00 PM,Metsa,3,59.37942787,24.67527926,2465
5:00:00 PM,Metsakooli tee,3,59.46192646,24.8748381,4666
5:00:00 PM,Mooni,3,59.4277313,24.71371563,3216
5:00:00 PM,Mustakivi,84,59.44301718,24.87387117,4662
5:00:00 PM,Mustakivisilla,1,59.44108809,24.86644445,4849
5:00:00 PM,Mustamäe,3,59.400289868,24.659396492,3332
5:00:00 PM,Mustjõe,16,59.428805855,24.68030618,2478
5:00:00 PM,Mõigu,17,59.4051610933,24.8123684333,3740
5:00:00 PM,Mäepealse,1,59.3945440633,24.64429479,3610
5:00:00 PM,Mähe,1,59.48019991,24.8548406,5224
5:00:00 PM,Männi,21,59.4003618867,24.6711891767,3554
5:00:00 PM,Männiku,10,59.366751275,24.71784253,3203
5:00:00 PM,Naaritsa,7,59.36485944,24.63731304,2400
5:00:00 PM,Niidi,6,59.44947439,24.69922341,4972
5:00:00 PM,Nisu,56,59.442934385,24.704367485,4971
5:00:00 PM,Nurme,10,59.379305995,24.69436569,4774
5:00:00 PM,Nurmenuku,47,59.413645325,24.653497735,3335
5:00:00 PM,Nõmme,61,59.38728505,24.685393798,2468
5:00:00 PM,Nõmme tee,2,59.4110624425,24.7151694,3213
5:00:00 PM,Näituse,1,59.385497565,24.71162275,2962
5:00:00 PM,Oblika tee,8,59.48690752,24.8655534733,4859
5:00:00 PM,Orto,2,59.420912535,24.825550515,3858
5:00:00 PM,Oru,6,59.443453155,24.801280575,5309
5:00:00 PM,P. Kerese,11,59.37753291,24.71778938,3205
5:00:00 PM,P. Pinna,51,59.4350185367,24.83653811,5144
5:00:00 PM,Paala,17,59.43202283,24.813441885,5059
5:00:00 PM,Paberi,59,59.43373946,24.762014145,3120
5:00:00 PM,Pae,131,59.426088606,24.799960044,5255
5:00:00 PM,Paekaare,23,59.43313476,24.825891525,3861
5:00:00 PM,Paesilla,28,59.438228516,24.818231172,5060
5:00:00 PM,Paevälja,3,59.44830249,24.82783943,3864
